,,,,,,,,,,,,2010 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Overall Place,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1ST UNLIMITED,314,"STEPHENS, ANDREW",9:00, ,11:12:00, ,14:08:00, ,15:02:00, ,17:00:00, ,20:27:00, ,0:48:00, ,3:48:00, ,5:32:00, ,10:01:00, ,14:06:00, ,16:47:00, ,19:40:00
,,,"CRUZ, AMADO",,1,2:12:00,1,2:56:00,1,0:54:00,1,1:58:00,1,3:27:00,1,4:21:00,1,3:00:00,1,1:44:00,1,4:29:00,1,4:05:00,5,2:41:00,1,2:53:00
,,,"CRUZ, DANIEL",,1,2:12:00,1,5:08:00,1,6:02:00,1,8:00:00,1,11:27:00,1,15:48:00,1,18:48:00,1,20:32:00,1,25:01:00,1,29:06:00,1,31:47:00,1,34:40:00
,,,"SOLES, ANDREW",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"RITCHIE, SAM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"CRUZ, EFRAIN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - RUSSELL, WILLIAM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2ND UNLIMITED,80,"GLOCK, JEFF",9:00, ,11:13:00, ,14:10:00, ,15:04:00, ,17:02:00, ,20:34:00, ,1:10:00, ,4:24:00, ,6:10:00, ,10:47:00, ,14:57:00, ,17:20:00, ,20:23:00
,,,"MYNAR, FRED",,2,2:13:00,2,2:57:00,1,0:54:00,1,1:58:00,2,3:32:00,2,4:36:00,2,3:14:00,2,1:46:00,2,4:37:00,2,4:10:00,1,2:23:00,2,3:03:00
,,,"STEWART, CHUCK",,2,2:13:00,2,5:10:00,2,6:04:00,2,8:02:00,2,11:34:00,2,16:10:00,2,19:24:00,2,21:10:00,2,25:47:00,2,29:57:00,2,32:20:00,2,35:23:00
,,,"COCHRAN, JERRY",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MYNAR, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"BINION, WADE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - PETRISKY, PAT",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1ST TANDEM,3,"YONLEY, TOMMY",9:00, ,11:22:00, ,14:29:00, ,15:25:00, ,17:32:00, ,21:15:00, ,2:13:00, ,5:40:00, ,7:34:00, ,12:55:00, ,17:31:00, ,20:04:00, ,23:11:00
,,,"RASK, TIM",,3,2:22:00,3,3:07:00,3,0:56:00,4,2:07:00,3,3:43:00,5,4:58:00,3,3:27:00,5,1:54:00,5,5:21:00,5,4:36:00,4,2:33:00,3,3:07:00
,,,"TC - SOUTHARD, JACOB",,3,2:22:00,3,5:29:00,3,6:25:00,3,8:32:00,3,12:15:00,3,17:13:00,3,20:40:00,3,22:34:00,4,27:55:00,4,32:31:00,4,35:04:00,3,38:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3RD UNLIMITED,807,"YEAGER, DODD",9:00, ,11:22:00, ,14:30:00, ,15:26:00, ,17:32:00, ,21:21:00, ,2:15:00, ,5:43:00, ,7:34:00, ,12:38:00, ,17:10:00, ,19:42:00, ,0:24:00
,,,"STAFFORD, BRANDON",,3,2:22:00,4,3:08:00,4,0:56:00,3,2:06:00,4,3:49:00,3,4:54:00,4,3:28:00,3,1:51:00,3,5:04:00,4,4:32:00,3,2:32:00,6,4:42:00
,,,"CONDIE, ANDREW",,3,2:22:00,4,5:30:00,4,6:26:00,3,8:32:00,4,12:21:00,4,17:15:00,4,20:43:00,3,22:34:00,3,27:38:00,3,32:10:00,3,34:42:00,4,39:24:00
,,,"SIMMONS, MARK",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"HARRAS, JOHN MARK",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"DUPONT, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - SIMMONS, MIKE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2ND TANDEM,122,"MYNAR, KYLE",9:00, ,11:30:00, ,14:46:00, ,15:44:00, ,17:53:00, ,21:44:00, ,2:38:00, ,6:18:00, ,8:09:00, ,13:18:00, ,17:41:00, ,20:04:00, ,1:00:00
,,,"MYNAR, LOGAN",,5,2:30:00,7,3:16:00,6,0:58:00,5,2:09:00,5,3:51:00,3,4:54:00,6,3:40:00,4,1:51:00,4,5:09:00,3,4:23:00,1,2:23:00,8,4:56:00
,,,"TC - MYNAR, JOE",,5,2:30:00,5,5:46:00,5,6:44:00,5,8:53:00,5,12:44:00,5,17:38:00,5,21:18:00,5,23:09:00,5,28:18:00,5,32:41:00,4,35:04:00,5,40:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1st MIXED,107,"BUGGE, JOHN",9:00, ,11:45:00, ,15:12:00, ,16:15:00, ,18:36:00, ,23:09:00, ,5:01:00, ,8:56:00, ,10:57:00, ,17:01:00, ,22:15:00, ,2:43:00, ,7:00:00
,1ST MASTERS,,"YEAGER, MEAGAN",,11,2:45:00,9,3:27:00,10,1:03:00,9,2:21:00,12,4:33:00,11,5:52:00,9,3:55:00,8,2:01:00,11,6:04:00,12,5:14:00,15,4:28:00,4,4:17:00
,,,"TC - BUGGE, DAWN",,11,2:45:00,9,6:12:00,9,7:15:00,9,9:36:00,9,14:09:00,9,20:01:00,9,23:56:00,10,25:57:00,10,32:01:00,10,37:15:00,9,41:43:00,6,46:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4TH UNLIMITED,535,"JOHNSON, SCOTT",9:00, ,11:41:00, ,14:53:00, ,15:52:00, ,18:05:00, ,22:15:00, ,3:47:00, ,7:53:00, ,10:01:00, ,15:42:00, ,20:36:00, ,0:18:00, ,8:01:00
,,,"JIRAL, DARRYL",,9,2:41:00,5,3:12:00,7,0:59:00,7,2:13:00,7,4:10:00,7,5:32:00,15,4:06:00,10,2:08:00,8,5:41:00,8,4:54:00,8,3:42:00,35,7:43:00
,,,"AZIZ, KARIM",,9,2:41:00,8,5:53:00,8,6:52:00,7,9:05:00,7,13:15:00,7,18:47:00,7,22:53:00,7,25:01:00,7,30:42:00,7,35:36:00,7,39:18:00,7,47:01:00
,,,"RENDON, MIKE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - GRAY, LANCE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST C-1,29,"FEASTER, MAX",9:00, ,11:52:00, ,15:39:00, ,16:45:00, ,19:18:00, ,23:56:00, ,5:57:00, ,9:57:00, ,12:14:00, ,18:43:00, ,23:56:00, ,3:21:00, ,8:02:00
,,,"TC - DERRICK, PETER",,16,2:52:00,23,3:47:00,17,1:06:00,16,2:33:00,14,4:38:00,15,6:01:00,10,4:00:00,17,2:17:00,18,6:29:00,11,5:13:00,7,3:25:00,5,4:41:00
,,,,,16,2:52:00,18,6:39:00,18,7:45:00,17,10:18:00,16,14:56:00,17,20:57:00,15,24:57:00,15,27:14:00,14,33:43:00,14,38:56:00,10,42:21:00,8,47:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5TH UNLIMITED,7018,"REITER, SHEILA",9:00, ,11:30:00, ,14:48:00, ,15:51:00, ,18:10:00, ,22:26:00, ,4:00:00, ,8:05:00, ,10:07:00, ,15:55:00, ,20:40:00, ,0:38:00, ,8:25:00
,,,"MAIKA, JOHN",,5,2:30:00,8,3:18:00,9,1:03:00,8,2:19:00,8,4:16:00,8,5:34:00,13,4:05:00,9,2:02:00,9,5:48:00,7,4:45:00,11,3:58:00,38,7:47:00
,,,"WUESTE, JEFF",,5,2:30:00,7,5:48:00,7,6:51:00,8,9:10:00,8,13:26:00,8,19:00:00,8,23:05:00,8,25:07:00,8,30:55:00,8,35:40:00,8,39:38:00,9,47:25:00
,,,"TC - LARSEN, SHANNON",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6TH UNLIMITED,388,"ALFORD, TERRY",9:00, ,11:34:00, ,14:46:00, ,15:47:00, ,17:58:00, ,21:56:00, ,3:05:00, ,6:44:00, ,8:38:00, ,14:12:00, ,19:15:00, ,22:38:00, ,8:31:00
,,,"SMART, BOBBY",,7,2:34:00,5,3:12:00,8,1:01:00,6,2:11:00,6,3:58:00,6,5:09:00,5,3:39:00,6,1:54:00,6,5:34:00,9,5:03:00,6,3:23:00,51,9:53:00
,,,"WYATT, CLAY",,7,2:34:00,5,5:46:00,6,6:47:00,6,8:58:00,6,12:56:00,6,18:05:00,6,21:44:00,6,23:38:00,6,29:12:00,6,34:15:00,6,37:38:00,10,47:31:00
,,,"DEVOGLAER, JAMES",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"BOWDEN, PHIL",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - ALFORD, CINDY",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7TH UNLIMITED,520,"MURPHY, JOHN",9:00, ,11:45:00, ,15:12:00, ,16:17:00, ,18:45:00, ,23:12:00, ,5:07:00, ,8:56:00, ,10:53:00, ,16:47:00, ,21:30:00, ,7:53:00, ,12:48:00
,,,"DANIEL, STEVE",,11,2:45:00,9,3:27:00,14,1:05:00,12,2:28:00,9,4:27:00,12,5:55:00,7,3:49:00,7,1:57:00,10,5:54:00,6,4:43:00,64,10:23:00,7,4:55:00
,,,"DROST, MIKE",,11,2:45:00,9,6:12:00,10,7:17:00,10,9:45:00,10,14:12:00,10,20:07:00,9,23:56:00,9,25:53:00,9,31:47:00,9,36:30:00,15,46:53:00,11,51:48:00
,,,"TC - SLATEN, CURT",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1ST SOLO,151,"SHERROD, VANCE",9:00, ,11:45:00, ,15:18:00, ,16:22:00, ,18:54:00, ,23:24:00, ,5:28:00, ,9:33:00, ,11:42:00, ,18:07:00, ,23:38:00, ,7:34:00, ,13:05:00
,,,"TC - SHERROD, SANDY",,11,2:45:00,15,3:33:00,11,1:04:00,14,2:32:00,10,4:30:00,16,6:04:00,13,4:05:00,11,2:09:00,16,6:25:00,15,5:31:00,56,7:56:00,14,5:31:00
,,,,,11,2:45:00,13,6:18:00,13,7:22:00,13,9:54:00,11,14:24:00,12,20:28:00,12,24:33:00,11,26:42:00,13,33:07:00,13,38:38:00,11,46:34:00,12,52:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1ST C-2,118,"KITTLE, JONATHAN",9:00, ,11:58:00, ,15:44:00, ,16:40:00, ,19:22:00, ,23:57:00, ,6:11:00, ,10:22:00, ,12:35:00, ,19:59:00, ,1:27:00, ,7:50:00, ,14:56:00
,,,"KITTLE, SARAH",,20,2:58:00,22,3:46:00,4,0:56:00,22,2:42:00,13,4:35:00,20,6:14:00,17,4:11:00,15,2:13:00,23,7:24:00,14,5:28:00,43,6:23:00,29,7:06:00
,,,"TC - RASK, STEPHEN",,20,2:58:00,21,6:44:00,17,7:40:00,19,10:22:00,18,14:57:00,18,21:11:00,18,25:22:00,17,27:35:00,17,34:59:00,17,40:27:00,13,46:50:00,13,53:56:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2ND C-2,106,"AMIRAN, EDOH",9:00, ,11:51:00, ,15:23:00, ,16:33:00, ,19:01:00, ,23:41:00, ,5:45:00, ,9:35:00, ,11:45:00, ,18:03:00, ,23:37:00, ,7:52:00, ,15:24:00
,,,"PRICE, LIAM",,15,2:51:00,12,3:32:00,22,1:10:00,12,2:28:00,15,4:40:00,16,6:04:00,8,3:50:00,13,2:10:00,13,6:18:00,16,5:34:00,59,8:15:00,34,7:32:00
,,,"TC - WISNIEWSKI, VERONICA",,15,2:51:00,14,6:23:00,16,7:33:00,16,10:01:00,14,14:41:00,15,20:45:00,14,24:35:00,14,26:45:00,11,33:03:00,12,38:37:00,14,46:52:00,14,54:24:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1ST ALUMINUM,971,"STARTZ, KENNITH",9:00, ,12:02:00, ,15:51:00, ,17:01:00, ,19:43:00, ,0:52:00, ,7:01:00, ,11:23:00, ,13:40:00, ,20:08:00, ,2:25:00, ,8:52:00, ,15:44:00
,,,"DORNAK, HENRY",,22,3:02:00,25,3:49:00,21,1:10:00,24,2:42:00,24,5:09:00,19,6:09:00,19,4:22:00,17,2:17:00,17,6:28:00,19,6:17:00,44,6:27:00,26,6:52:00
,,,"TC - LEE, SCOTT",,22,3:02:00,23,6:51:00,23,8:01:00,20,10:43:00,22,15:52:00,20,22:01:00,20,26:23:00,20,28:40:00,18,35:08:00,18,41:25:00,16,47:52:00,15,54:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1ST NOVICE,2750,"TART, NATHAN",9:00, ,12:06:00, ,16:05:00, ,17:17:00, ,20:02:00, ,1:28:00, ,8:23:00, ,12:52:00, ,15:18:00, ,22:28:00, ,5:31:00, ,10:05:00, ,16:11:00
,,,"MAPLES, JEFFERY",,27,3:06:00,34,3:59:00,29,1:12:00,26,2:45:00,28,5:26:00,29,6:55:00,22,4:29:00,22,2:26:00,21,7:10:00,33,7:03:00,16,4:34:00,18,6:06:00
,,,"TC - TART, DWIGHT",,27,3:06:00,31,7:05:00,29,8:17:00,27,11:02:00,27,16:28:00,29,23:23:00,27,27:52:00,27,30:18:00,24,37:28:00,21,44:31:00,17,49:05:00,16,55:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8TH UNLIMITED,97,"WATSON, STEVE",9:00, ,11:40:00, ,15:12:00, ,16:17:00, ,18:53:00, ,23:42:00, ,5:42:00, ,10:19:00, ,12:38:00, ,18:52:00, ,0:01:00, ,10:10:00, ,17:33:00
,,,"ROYE, RYAN",,8,2:40:00,12,3:32:00,14,1:05:00,17,2:36:00,17,4:49:00,14,6:00:00,27,4:37:00,20,2:19:00,12,6:14:00,10,5:09:00,63,10:09:00,30,7:23:00
,,,"STEVENSON, CHRIS",,8,2:40:00,9,6:12:00,10,7:17:00,11,9:53:00,15,14:42:00,14,20:42:00,17,25:19:00,18,27:38:00,16,33:52:00,15,39:01:00,20,49:10:00,17,56:33:00
,,,"CURRY, TIM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"VANDEVEER, MICHAEL",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"OLSON, JOE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - SOMMER, RICHARD",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9TH UNLIMITED,3333,"STUMAN, RHETT",9:00, ,12:17:00, ,16:11:00, ,17:32:00, ,20:20:00, ,1:47:00, ,9:15:00, ,14:01:00, ,16:30:00, ,1:46:00, ,7:51:00, ,12:00:00, ,18:28:00
,,,"STUMAN, RHETT",,37,3:17:00,31,3:54:00,49,1:21:00,29,2:48:00,29,5:27:00,42,7:28:00,31,4:46:00,24,2:29:00,46,9:16:00,17,6:05:00,12,4:09:00,23,6:28:00
,,,"LENZ, KEVIN",,37,3:17:00,35,7:11:00,36,8:32:00,33,11:20:00,31,16:47:00,35,24:15:00,34,29:01:00,32,31:30:00,32,40:46:00,28,46:51:00,23,51:00:00,18,57:28:00
,,,"TC - STUMAN, JAQUELINE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2ND SOLO,115,"PADDACK, CHRIS",9:00, ,12:09:00, ,15:59:00, ,17:06:00, ,19:51:00, ,1:33:00, ,8:15:00, ,13:19:00, ,15:35:00, ,22:10:00, ,8:49:00, ,12:40:00, ,18:30:00
,,,"TC - TAYLOR, KAYLA",,29,3:09:00,26,3:50:00,18,1:07:00,27,2:45:00,34,5:42:00,25,6:42:00,38,5:04:00,16,2:16:00,19,6:35:00,68,10:39:00,9,3:51:00,15,5:50:00
,,,,,29,3:09:00,27,6:59:00,24,8:06:00,26,10:51:00,29,16:33:00,27,23:15:00,28,28:19:00,28,30:35:00,21,37:10:00,31,47:49:00,25,51:40:00,19,57:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3RD TANDEM,8321,"REED, GRADY",9:00, ,11:48:00, ,15:23:00, ,16:32:00, ,18:57:00, ,23:56:00, ,5:53:00, ,10:15:00, ,12:26:00, ,18:48:00, ,1:16:00, ,10:10:00, ,18:56:00
,,,"WYATT, WES",,14,2:48:00,16,3:35:00,20,1:09:00,10,2:25:00,20,4:59:00,13,5:57:00,20,4:22:00,14,2:11:00,14,6:22:00,23,6:28:00,60,8:54:00,44,8:46:00
,,,"TC - WYATT, STEPHANIE",,14,2:48:00,14,6:23:00,15,7:32:00,15,9:57:00,16,14:56:00,16,20:53:00,16,25:15:00,16,27:26:00,15,33:48:00,16,40:16:00,19,49:10:00,20,57:56:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10TH UNLIMITED,2224,"LEUZINGER, HARRY",9:00, ,11:57:00, ,16:15:00, ,17:30:00, ,20:10:00, ,1:10:00, ,8:05:00, ,12:31:00, ,15:02:00, ,23:10:00, ,5:20:00, ,10:06:00, ,19:22:00
,,,"LEUZINGER, BRIAN",,19,2:57:00,48,4:18:00,35,1:15:00,21,2:40:00,21,5:00:00,30,6:55:00,21,4:26:00,25,2:31:00,34,8:08:00,18,6:10:00,20,4:46:00,47,9:16:00
,,,"WALDEN, MATTHEW",,19,2:57:00,36,7:15:00,34,8:30:00,30,11:10:00,25,16:10:00,26,23:05:00,25,27:31:00,24,30:02:00,26,38:10:00,20,44:20:00,18,49:06:00,21,58:22:00
,,,"THOMSEN, AXEL",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - CLARK, DAVID",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2ND ALUMINUM,69,"LAROCQUE, CHRIS",9:00, ,12:20:00, ,16:36:00, ,17:53:00, ,20:49:00, ,2:35:00, ,9:49:00, ,14:46:00, ,17:22:00, ,0:55:00, ,7:44:00, ,12:37:00, ,19:27:00
,,,"LAROCQUE, JOHN",,41,3:20:00,44,4:16:00,39,1:17:00,37,2:56:00,36,5:46:00,39,7:14:00,32,4:57:00,30,2:36:00,25,7:33:00,27,6:49:00,23,4:53:00,25,6:50:00
,,,"TC - LAROCQUE, PAM",,41,3:20:00,41,7:36:00,42,8:53:00,41,11:49:00,38,17:35:00,37,24:49:00,36,29:46:00,34,32:22:00,30,39:55:00,27,46:44:00,24,51:37:00,22,58:27:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2ND MIXED,55,"ZEEK, DON",9:00, ,11:58:00, ,15:39:00, ,16:48:00, ,19:21:00, ,0:14:00, ,6:58:00, ,11:08:00, ,13:35:00, ,20:56:00, ,4:41:00, ,10:24:00, ,19:28:00
,1ST PARENT/,,"ZEEK, MELINDA",,20,2:58:00,18,3:41:00,19,1:09:00,15,2:33:00,18,4:53:00,27,6:44:00,16,4:10:00,23,2:27:00,22,7:21:00,44,7:45:00,36,5:43:00,45,9:04:00
,CHILD,,"TC - NORMAN, JAMIE",,20,2:58:00,18,6:39:00,19,7:48:00,18,10:21:00,19,15:14:00,19,21:58:00,19,26:08:00,19,28:35:00,20,35:56:00,19,43:41:00,21,49:24:00,23,58:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3RD ALUMINUM,252,"HELLINGER, MARK",9:00, ,12:04:00, ,15:57:00, ,17:10:00, ,20:03:00, ,1:14:00, ,7:45:00, ,12:29:00, ,15:04:00, ,22:38:00, ,6:50:00, ,11:38:00, ,20:51:00
,,,"BLACK, PAUL",,24,3:04:00,29,3:53:00,33,1:13:00,33,2:53:00,25,5:11:00,22,6:31:00,30,4:44:00,28,2:35:00,26,7:34:00,48,8:12:00,21,4:48:00,46,9:13:00
,,,"TC - BLACK, MARIAN",,24,3:04:00,26,6:57:00,27,8:10:00,28,11:03:00,26,16:14:00,24,22:45:00,24,27:29:00,25,30:04:00,25,37:38:00,23,45:50:00,22,50:38:00,24,59:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11TH UNLIMITED,1775,"HUNT, JOE",9:00, ,12:48:00, ,17:17:00, ,18:41:00, ,22:00:00, ,4:15:00, ,11:21:00, ,16:20:00, ,18:58:00, ,2:45:00, ,9:44:00, ,14:04:00, ,21:50:00
,,,"FLY, TREY",,60,3:48:00,59,4:29:00,51,1:24:00,48,3:19:00,42,6:15:00,34,7:06:00,34,4:59:00,33,2:38:00,29,7:47:00,32,6:59:00,13,4:20:00,37,7:46:00
,,,"BENNETT, JEFF",,60,3:48:00,59,8:17:00,57,9:41:00,53,13:00:00,43,19:15:00,41,26:21:00,40,31:20:00,40,33:58:00,36,41:45:00,33,48:44:00,30,53:04:00,25,60:50:00
,,,"ORTH, SHAWN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MORRIS, AJ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"BEAUBIEN, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - MASTERSON, TOMMY",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3RD MIXED,5585,"KOHUT, GARY",9:00, ,12:15:00, ,15:56:00, ,17:08:00, ,19:44:00, ,0:47:00, ,7:30:00, ,12:01:00, ,14:40:00, ,22:21:00, ,7:38:00, ,13:16:00, ,22:43:00
,,,"KOHUT, MORGAN",,34,3:15:00,18,3:41:00,28,1:12:00,19,2:36:00,22,5:03:00,26,6:43:00,25,4:31:00,35,2:39:00,27,7:41:00,61,9:17:00,34,5:38:00,48,9:27:00
,,,"TC - KOHUT, MARILYN",,34,3:15:00,24,6:56:00,26,8:08:00,21,10:44:00,21,15:47:00,22,22:30:00,21,27:01:00,22,29:40:00,23,37:21:00,24,46:38:00,28,52:16:00,26,61:43:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2ND NOVICE,8283,"DODD, JAMES",9:00, ,12:10:00, ,16:18:00, ,17:38:00, ,20:29:00, ,3:16:00, ,11:43:00, ,17:03:00, ,19:51:00, ,6:35:00, ,12:53:00, ,17:15:00, ,0:42:00
,,,"WHITE, ANDREW",,31,3:10:00,37,4:08:00,44,1:20:00,32,2:51:00,46,6:47:00,57,8:27:00,48,5:20:00,40,2:48:00,53,10:44:00,21,6:18:00,14,4:22:00,33,7:27:00
,,,"TC - GUERRERO, GRAHAM",,31,3:10:00,37,7:18:00,37,8:38:00,38,11:29:00,40,18:16:00,42,26:43:00,41,32:03:00,41,34:51:00,42,45:35:00,40,51:53:00,37,56:15:00,27,63:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4TH ALUMINUM,5984,"JONES, BRIAN",9:00, ,12:09:00, ,16:08:00, ,17:25:00, ,20:20:00, ,1:59:00, ,9:47:00, ,15:14:00, ,18:18:00, ,3:03:00, ,10:00:00, ,14:56:00, ,6:38:00
,,,"CROW, TRAVIS",,29,3:09:00,34,3:59:00,41,1:17:00,36,2:55:00,31,5:39:00,46,7:48:00,49,5:27:00,52,3:04:00,40,8:45:00,30,6:57:00,24,4:56:00,63,15:42:00
,,,"TC - CROW, RICHARD",,29,3:09:00,34,7:08:00,32,8:25:00,33,11:20:00,35,16:59:00,36,24:47:00,37,30:14:00,37,33:18:00,37,42:03:00,35,49:00:00,32,53:56:00,28,69:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3RD SOLO,9,"SCHLEGEL, ERICH",9:00, ,12:10:00, ,16:03:00, ,17:41:00, ,20:24:00, ,1:37:00, ,8:35:00, ,13:33:00, ,16:26:00, ,0:55:00, ,9:43:00, ,14:28:00, ,6:40:00
